annual,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dic,geojson,geom
7.981,7.431,7.206,7.411,8.055,8.163,7.503,8.357,8.141,8.457,8.811,8.428,7.81,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.6272277832032,-23.0192203521727],[-65.963752746582,-23.0976009368895],[-66.0475234985352,-22.7880706787107],[-65.7128295898438,-22.7104301452635],[-65.6272277832032,-23.0192203521727]]]]}",0106000020E6100000010000000103000000010000000500000002000080246850C0CEFFFF9FEB0437C000000020AE7D50C0CCFFFF5FFC1837C0020000A00A8350C0C8FFFFFFBEC936C0000000009F6D50C0C4FFFFBFDEB536C002000080246850C0CEFFFF9FEB0437C0
8.766,8.432,7.857,8.424,9.085,8.878,8.178,8.89,8.829,9.361,9.729,9.021,8.519,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.963752746582,-23.0976009368895],[-66.30126953125,-23.1742191314696],[-66.3831787109375,-22.8639793395994],[-66.0475234985352,-22.7880706787107],[-65.963752746582,-23.0976009368895]]]]}",0106000020E6100000010000000103000000010000000500000000000020AE7D50C0CCFFFF5FFC1837C002000000489350C0D6FFFF9F992C37C000000000869850C0C6FFFFBF2DDD36C0020000A00A8350C0C8FFFFFFBEC936C000000020AE7D50C0CCFFFF5FFC1837C0
8.616,8.576,7.912,8.456,8.747,8.648,7.914,8.528,8.495,9.166,9.414,8.992,8.549,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.5406188964844,-23.3289794921873],[-65.8789978027344,-23.4081096649168],[-65.963752746582,-23.0976009368895],[-65.6272277832032,-23.0192203521727],[-65.5406188964844,-23.3289794921873]]]]}",0106000020E6100000010000000103000000010000000500000002000080996250C0C4FFFFFF375437C002000080417850C0CAFFFFDF796837C000000020AE7D50C0CCFFFF5FFC1837C002000080246850C0CEFFFF9FEB0437C002000080996250C0C4FFFFFF375437C0
9.315,9.495,9.055,8.882,9.267,9.059,8.47,8.792,9.023,9.947,10.425,9.754,9.622,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.6397705078125,-23.2490806579588],[-66.979248046875,-23.3221492767332],[-67.0573730468749,-23.0105209350584],[-66.7198181152344,-22.9381294250487],[-66.6397705078125,-23.2490806579588]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFFFFF1A850C0C8FFFFBFC33F37C002000000ACBE50C0C0FFFF5F785237C0FCFFFFFFABC350C0D6FFFF7FB10237C00000008011AE50C0D4FFFF3F29F036C0FEFFFFFFF1A850C0C8FFFFBFC33F37C0
9.417,9.9,9.401,9.279,9.351,8.885,8.306,8.632,8.998,9.612,10.313,10.178,10.152,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.979248046875,-23.3221492767332],[-67.3196105957032,-23.3934402465818],[-67.3958435058593,-23.0811290740965],[-67.0573730468749,-23.0105209350584],[-66.979248046875,-23.3221492767332]]]]}",0106000020E6100000010000000103000000010000000500000002000000ACBE50C0C0FFFF5F785237C00200008074D450C0C2FFFF7FB86437C0FEFFFF7F55D950C0D2FFFFDFC41437C0FCFFFFFFABC350C0D6FFFF7FB10237C002000000ACBE50C0C0FFFF5F785237C0
9.613,10.105,9.59,9.469,9.558,9.015,8.24,8.504,9.302,10.014,10.72,10.355,10.492,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.900146484375,-23.6348094940184],[-67.2424621582032,-23.7067794799803],[-67.3196105957032,-23.3934402465818],[-66.979248046875,-23.3221492767332],[-66.900146484375,-23.6348094940184]]]]}",0106000020E61000000100000001030000000100000005000000000000009CB950C0CCFFFFDF82A237C00200008084CF50C0D0FFFF7FEFB437C00200008074D450C0C2FFFF7FB86437C002000000ACBE50C0C0FFFF5F785237C0000000009CB950C0CCFFFFDF82A237C0
9.433,9.815,9.328,9.32,9.436,8.878,8.288,8.545,8.967,9.731,10.387,10.262,10.25,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.8201293945312,-23.9484901428221],[-67.1643981933593,-24.0211505889891],[-67.2424621582032,-23.7067794799803],[-66.900146484375,-23.6348094940184],[-66.8201293945312,-23.9484901428221]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFFFF7CB450C0C4FFFF3FD0F237C0FEFFFF7F85CA50C0CEFFFF1F6A0538C00200008084CF50C0D0FFFF7FEFB437C0000000009CB950C0CCFFFFDF82A237C0FEFFFFFF7CB450C0C4FFFF3FD0F237C0
9.366,9.991,9.34,9.438,9.407,8.732,8.272,8.376,8.828,9.529,10.279,10.13,10.077,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.739143371582,-24.2631797790526],[-67.0853576660156,-24.3365402221678],[-67.1643981933593,-24.0211505889891],[-66.8201293945312,-23.9484901428221],[-66.739143371582,-24.2631797790526]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFF1F4EAF50C0D8FFFFBF5F4338C00000008076C550C0C4FFFF7F275638C0FEFFFF7F85CA50C0CEFFFF1F6A0538C0FEFFFFFF7CB450C0C4FFFF3FD0F237C0FEFFFF1F4EAF50C0D8FFFFBF5F4338C0
9.363,10.046,9.35,9.446,9.526,8.569,7.978,7.837,8.795,9.587,10.545,10.319,10.364,"{""type"":""MultiPolygon"",""coordinates"":[[[[-67.0853576660156,-24.3365402221678],[-67.4325637817383,-24.4080390930174],[-67.5095825195313,-24.0919704437254],[-67.1643981933593,-24.0211505889891],[-67.0853576660156,-24.3365402221678]]]]}",0106000020E610000001000000010300000001000000050000000000008076C550C0C4FFFF7F275638C0FEFFFF1FAFDB50C0D6FFFF3F756838C0020000009DE050C0C4FFFF5F8B1738C0FEFFFF7F85CA50C0CEFFFF1F6A0538C00000008076C550C0C4FFFF7F275638C0
9.481,10.14,9.811,9.832,9.571,8.582,8.164,8.249,8.811,9.526,10.225,10.437,10.426,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.6571731567383,-24.5788803100584],[-67.00537109375,-24.652950286865],[-67.0853576660156,-24.3365402221678],[-66.739143371582,-24.2631797790526],[-66.6571731567383,-24.5788803100584]]]]}",0106000020E61000000100000001030000000100000005000000000000200FAA50C0C8FFFF7F319438C00200000058C050C0C0FFFFBF27A738C00000008076C550C0C4FFFF7F275638C0FEFFFF1F4EAF50C0D8FFFFBF5F4338C0000000200FAA50C0C8FFFF7F319438C0
